PMID,Title,Authors,First Author,Journal/Book,Publication Year,Create Date
13489499,Diseases of the heart in a working population; a study of morbidity and mortality in relation to cardiac status and nature of job,"GOERKE LS, CHAPMAN JM, PHILLIPS E.",GOERKE LS,Calif Med,1957,01-12-1957
26650682,Lung and Heart Diseases Are Better Predicted by Pack-Years than by Smoking Status or Duration of Smoking Cessation in HIV Patients,"Guaraldi G, Raggi P, Gomes A, Zona S, Marchi E, Santoro A, Besutti G, Scaglioni R, Ligabue G, Leipsic J, Man P, Sin D.",Guaraldi G,PLoS One,2015,10-12-2015
32074256,Effectiveness of Implanted Cardiac Rhythm Recorders With Electrocardiographic Monitoring for Detecting Arrhythmias in Pregnant Women With Symptomatic Arrhythmia and/or Structural Heart Disease: A Randomized Clinical Trial,"Sliwa K, Azibani F, Johnson MR, Viljoen C, Baard J, Osman A, Briton O, Ntsekhe M, Chin A.",Sliwa K,JAMA Cardiol,2020,20-02-2020
29020132,"The Relationship Between Occupational Standing and Sitting and Incident Heart Disease Over a 12-Year Period in Ontario, Canada","Smith P, Ma H, Glazier RH, Gilbert-Ouimet M, Mustard C.",Smith P,Am J Epidemiol,2018,12-10-2017
31146181,Morphological and histopathological evaluation of autopsied patients with hypertensive cardiopathy,"Juliano GR, Aguiar LS, Dos Reis Monteiro MLG, Alberto GB, Torquato BGS, Oliveira MS, Dos Reis Félix JE, de Araújo MF, Corrêa RRM, de Paula Antunes Teixeira V, da Fonseca Ferraz ML.",Juliano GR,Ann Diagn Pathol,2019,31-05-2019
31880254,Role of Subclinical Iatrogenic Hyperthyroidism in the Setting of Heart Disease and Arrhythmic Burden,"Mastroianno S, Di Stolfo G, Maggio A, Pacilli M, Potenza DR, Massaro R, De Luca G, Russo A.",Mastroianno S,Endocr Metab Immune Disord Drug Targets,2020,28-12-2019
30292790,Highlights of the thirteenth annual scientific meeting of the Society of Cardiovascular Computed Tomography,"Weir-McCall JR, Madan N, Villines TC, Shaw LJ, Abbara S, Ferencik M, Nieman K, Blankstein R, Ghoshhajra BB, Choi AD, Nicol E.",Weir-McCall JR,J Cardiovasc Comput Tomogr,2018,08-10-2018
23756463,Getting to the heart of the matter: long non-coding RNAs in cardiac development and disease,"Scheuermann JC, Boyer LA.",Scheuermann JC,EMBO J,2013,13-06-2013
19262368,Statin therapy in South Asians-facts and future,"Dalal P, Arora R.",Dalal P,Am J Ther,2010,06-03-2009
32577015,Stem Cell Therapy in Heart Disease: Limitations and Future Possibilities,"Sano T, Ishigami S, Ito T, Sano S.",Sano T,Acta Med Okayama,2020,25-06-2020
27716227,Modified mallampati classification in determining the success of unsedated transesophageal echocardiography procedure in patients with heart disease: simple but efficient,"Khongkaew J, Sahasthas D, Potat T, Thammawirat P.",Khongkaew J,Cardiovasc Ultrasound,2016,08-10-2016
3773175,Sudden cardiac death in Air Force recruits. A 20-year review,"Phillips M, Robinowitz M, Higgins JR, Boran KJ, Reed T, Virmani R.",Phillips M,JAMA,1986,21-11-1986
6669983,[Contrast echocardiography--limits and possibilities in cardiologic diagnosis],"Wessel A, Heintzen PH.",Wessel A,Ultraschall Med,1983,01-12-1983
37563454,Valvular heart disease and cardiomyopathy: reappraisal of their interplay,"Ajmone Marsan N, Graziani F, Meucci MC, Wu HW, Lillo R, Bax JJ, Burzotta F, Massetti M, Jukema JW, Crea F.",Ajmone Marsan N,Nat Rev Cardiol,2024,10-08-2023
3298363,Prognosis of ventricular arrhythmias in relation to sudden cardiac death: therapeutic implications,Surawicz B.,Surawicz B,J Am Coll Cardiol,1987,01-08-1987
9451228,Heart health: rehabilitation,,,Nurs Stand,1997,06-02-1998
9119541,Diastolic function in various forms of left ventricular hypertrophy: contribution of active Doppler stress echo,"Möckel M, Störk T.",Möckel M,Int J Sports Med,1996,01-11-1996
12219052,Cardiac pathology in sudden unexpected infant death,"Dancea A, Côté A, Rohlicek C, Bernard C, Oligny LL.",Dancea A,J Pediatr,2002,10-09-2002
19434076,MicroRNAs and cardiac pathology,"Latronico MV, Condorelli G.",Latronico MV,Nat Rev Cardiol,2009,13-05-2009
17267157,Association between telomere length and heart disease in a narrow age cohort of older people,"Starr JM, McGurn B, Harris SE, Whalley LJ, Deary IJ, Shiels PG.",Starr JM,Exp Gerontol,2007,03-02-2007
23835269,Psychological wellbeing and posttraumatic stress associated with implantable cardioverter defibrillator therapy in young adults with genetic heart disease,"Ingles J, Sarina T, Kasparian N, Semsarian C.",Ingles J,Int J Cardiol,2013,10-07-2013
7722600,Decline in mortality from heart disease in Denmark: some methodological problems,"Juel K, Sjøl A.",Juel K,J Clin Epidemiol,1995,01-04-1995
12685620,"Pregnancy in patients with heart disease: experience with 1,000 cases","Avila WS, Rossi EG, Ramires JA, Grinberg M, Bortolotto MR, Zugaib M, da Luz PL.",Avila WS,Clin Cardiol,2003,11-04-2003
23510364,Syncope in patients with structural heart disease,Arnar DO.,Arnar DO,J Intern Med,2013,21-03-2013
18171314,Histone deacetylase inhibition in the treatment of heart disease,"Berry JM, Cao DJ, Rothermel BA, Hill JA.",Berry JM,Expert Opin Drug Saf,2008,04-01-2008
30396088,"Stem cells as therapy for heart disease: iPSCs, ESCs, CSCs, and skeletal myoblasts","Rikhtegar R, Pezeshkian M, Dolati S, Safaie N, Afrasiabi Rad A, Mahdipour M, Nouri M, Jodati AR, Yousefi M.",Rikhtegar R,Biomed Pharmacother,2019,06-11-2018
11419879,Physician-performed point-of-care echocardiography using a laptop platform compared with physical examination in the cardiovascular patient,"Spencer KT, Anderson AS, Bhargava A, Bales AC, Sorrentino M, Furlong K, Lang RM.",Spencer KT,J Am Coll Cardiol,2001,23-06-2001
8810128,Increasing fish oil intake--any net benefits?,,,Drug Ther Bull,1996,01-08-1996
5699073,Pathology of the heart in the tenth decade,Pomerance A.,Pomerance A,J Clin Pathol,1968,01-05-1968
975132,Clinical utility of the simultaneous recording of heart and Korotkoff sounds,"Rodbard S, Inagaki Y, Kikuchi Y.",Rodbard S,Cardiology,1976,01-01-1976
9160292,Landscapes of longevity: the calcium-selenium-mercury connection in cancer and heart disease,Foster HD.,Foster HD,Med Hypotheses,1997,01-04-1997
24842106,Mitophagy mechanisms and role in human diseases,"Redmann M, Dodson M, Boyer-Guittaut M, Darley-Usmar V, Zhang J.",Redmann M,Int J Biochem Cell Biol,2014,21-05-2014
19028648,[Hungarian validation of the cardiac module of the Pediatric Quality of Life Inventory],"Berkes A, Kiss M, Kemény C, Mogyorósy G.",Berkes A,Orv Hetil,2008,26-11-2008
22878088,"Income and heart disease mortality trends in Sao Paulo, Brazil, 1996 to 2010","Lotufo PA, Fernandes TG, Bando DH, Alencar AP, Benseñor IM.",Lotufo PA,Int J Cardiol,2013,11-08-2012
28101515,Signaling Pathways in Cardiac Myocyte Apoptosis,"Xia P, Liu Y, Cheng Z.",Xia P,Biomed Res Int,2016,20-01-2017
24463396,The impact of personalized risk feedback on Mexican Americans' perceived risk for heart disease and diabetes,"Hovick SR, Wilkinson AV, Ashida S, de Heer HD, Koehly LM.",Hovick SR,Health Educ Res,2014,28-01-2014
30095669,Effectiveness of early identification and electronic interventions for teens with risk factors for the development of heart disease and diabetes: Phase II findings,"Jung L, Courts E, Webber P, Zhou QP.",Jung L,J Am Assoc Nurse Pract,2019,11-08-2018
29191297,Verification of Heart Disease: Implications for a New Heart Transplantation Allocation System,"Raeisi-Giglou P, Rodriguez ER, Blackstone EH, Tan CD, Hsich EM.",Raeisi-Giglou P,JACC Heart Fail,2017,02-12-2017
26562328,Treatment of Depression in Patients with Concomitant Cardiac Disease,"Teply RM, Packard KA, White ND, Hilleman DE, DiNicolantonio JJ.",Teply RM,Prog Cardiovasc Dis,2016,13-11-2015
19826059,Stress and coping in African American Women with chronic heart disease: a cultural cognitive coping model,"Warren-Findlow J, Issel LM.",Warren-Findlow J,J Transcult Nurs,2010,15-10-2009
29076654,The respiratory system in pediatric chronic heart disease,Apostolopoulou SC.,Apostolopoulou SC,Pediatr Pulmonol,2017,28-10-2017
11324775,Cardiac manifestations of rheumatoid arthritis: a case-control transesophageal echocardiography study in 30 patients,"Guedes C, Bianchi-Fior P, Cormier B, Barthelemy B, Rat AC, Boissier MC.",Guedes C,Arthritis Rheum,2001,28-04-2001
18289295,Circulating natriuretic peptides in cats with heart disease,"Connolly DJ, Magalhaes RJ, Syme HM, Boswood A, Fuentes VL, Chu L, Metcalf M.",Connolly DJ,J Vet Intern Med,2008,22-02-2008
11404642,Factors influencing quality of life in older women with heart disease,"Janz NK, Janevic MR, Dodge JA, Fingerlin TE, Schork MA, Mosca LJ, Clark NM.",Janz NK,Med Care,2001,19-06-2001
14985531,Is Akt the mastermind behind age-related heart disease?,Kaminker P.,Kaminker P,Sci Aging Knowledge Environ,2004,27-02-2004
24394821,MRI catheterization in cardiopulmonary disease,"Rogers T, Ratnayaka K, Lederman RJ.",Rogers T,Chest,2014,08-01-2014
26969120,Cardiac CT or MRI in pediatric practice: Which one to choose?,"Sorensen C, Gach P, Pico H, Hugues N, Dabadie A, Desvignes C, Bourlière B, Aschero A, Colavolpe N, Petit P, Gorincour G.",Sorensen C,Diagn Interv Imaging,2016,13-03-2016
31311333,Mental health treatment to assist in heart disease improved outcomes,"Pompeo-Fargnoli A, Fargnoli AS.",Pompeo-Fargnoli A,J Health Psychol,2021,18-07-2019
16755342,Sudden death is associated with a widened paced QRS complex in noncoronary cardiac disease,"Schueller PO, Hennersdorf MG, Strauer BE.",Schueller PO,J Interv Card Electrophysiol,2006,07-06-2006
29926615,[Association study between the angiotensin converting enzyme gene insertion/deletion polymorphism and Qinghai Han Chinese with congenital heart disease],"Jing Z, Lin LU, Yong-Nian L, Zhan-Hai SU, Ying-Zhong Y.",Jing Z,Zhongguo Ying Yong Sheng Li Xue Za Zhi,2016,22-06-2018
29069972,Angiotensin-converting enzyme activity and inhibition in dogs with cardiac disease and an angiotensin-converting enzyme polymorphism,"Meurs KM, Stern JA, Atkins CE, Adin D, Aona B, Condit J, DeFrancesco T, Reina-Doreste Y, Keene BW, Tou S, Ward J, Woodruff K.",Meurs KM,J Renin Angiotensin Aldosterone Syst,2017,27-10-2017
26039290,Somatic and cognitive-affective depressive symptoms among patients with heart disease: differences by sex and age,"Dessotte CA, Silva FS, Furuya RK, Ciol MA, Hoffman JM, Dantas RA.",Dessotte CA,Rev Lat Am Enfermagem,2015,04-06-2015
32306763,Left Atrial End-Diastolic Volume Index as a Predictor of Cardiovascular Outcomes: The Heart and Soul Study,"Thadani SR, Shaw RE, Fang Q, Whooley MA, Schiller NB.",Thadani SR,Circ Cardiovasc Imaging,2020,21-04-2020
20118246,Autophagy in hypertensive heart disease,"Wang ZV, Rothermel BA, Hill JA.",Wang ZV,J Biol Chem,2010,02-02-2010
27083509,"Impact of Nurse-Led, Multidisciplinary Home-Based Intervention on Event-Free Survival Across the Spectrum of Chronic Heart Disease: Composite Analysis of Health Outcomes in 1226 Patients From 3 Randomized Trials","Stewart S, Wiley JF, Ball J, Chan YK, Ahamed Y, Thompson DR, Carrington MJ.",Stewart S,Circulation,2016,17-04-2016
12539167,Endothelium and valvular diseases of the heart,"Leask RL, Jain N, Butany J.",Leask RL,Microsc Res Tech,2003,23-01-2003
1563133,Morphologic aspects of pericardial heart disease: Part II,"Waller BF, Taliercio CP, Howard J, Green F, Orr CM, Slack JD.",Waller BF,Clin Cardiol,1992,01-04-1992
20684409,[Clinical inertia and treatment adherence in the management of chronic valvular heart diseases],"Moonen ML, Leroux A, Lancellotti P, Piérard LA.",Moonen ML,Rev Med Liege,2010,06-08-2010
27166576,Measuring Pressure Volume Loops in the Mouse,Townsend D.,Townsend D,J Vis Exp,2016,12-05-2016
4095045,How often can an embolic stroke be diagnosed clinically? A clinicopathological correlation,"Humphrey RD, Harrison MJ.",Humphrey RD,Postgrad Med J,1985,01-12-1985
6356417,The anesthetic evaluation and management of the surgical patient with heart disease,Bull AP.,Bull AP,Surg Clin North Am,1983,01-10-1983
12365175,"Echocardiographic evaluation, management and outcomes of bilateral arterial ducts and complex congenital heart disease: 16 years' experience","Peirone A, Abdullah MM, Dicke F, Freedom RM, Smallhorn J.",Peirone A,Cardiol Young,2002,09-10-2002
22314509,[Screening for risk factors of sudden cardiac death in young athletes],"Thorolfsson B, Thordardottir FR, Gunnarsson GT, Sigurdsson AF.",Thorolfsson B,Laeknabladid,2012,09-02-2012
31416535,"Prevention, Diagnosis, and Management of Radiation-Associated Cardiac Disease: JACC Scientific Expert Panel","Desai MY, Windecker S, Lancellotti P, Bax JJ, Griffin BP, Cahlon O, Johnston DR.",Desai MY,J Am Coll Cardiol,2019,17-08-2019
32193730,Anxiety is associated with increased risk for atrial cardiopathy,"Wang Z, Qin H, Chen G, Dai Y, Cai Y, Cheng X, Qian Y, Chu M, Lu X.",Wang Z,Acta Neurol Belg,2020,21-03-2020
2681505,Theophylline and salbutamol in combination in patients with obstructive pulmonary disease and concurrent heart disease: effect on cardiac arrhythmias,"Poukkula A, Korhonen UR, Huikuri H, Linnaluoto M.",Poukkula A,J Intern Med,1989,01-10-1989
31565432,Cardiac Obesity and Cardiac Cachexia: Is There a Pathophysiological Link?,"Selthofer-Relatić K, Kibel A, Delić-Brkljačić D, Bošnjak I.",Selthofer-Relatić K,J Obes,2019,01-10-2019
21108557,Interventional and surgical treatment of cardiac arrhythmias in adults with congenital heart disease,"Koyak Z, de Groot JR, Mulder BJ.",Koyak Z,Expert Rev Cardiovasc Ther,2010,27-11-2010
19495568,CAR-diology--a virus receptor in the healthy and diseased heart,"Fischer R, Poller W, Schultheiss HP, Gotthardt M.",Fischer R,J Mol Med (Berl),2009,05-06-2009
37093446,Unmet Needs for Cardiac Rehabilitation in Africa: A Perennial Gap in the Management of Individuals with Cardiac Diseases,"Maruf FA, Mohammed J.",Maruf FA,High Blood Press Cardiovasc Prev,2023,24-04-2023
6734635,Death outside hospital with special reference to heart disease,"Wennerblom B, Holmberg S.",Wennerblom B,Eur Heart J,1984,01-04-1984
14649224,[Ventilation in special situations. Mechanical ventilation in congenital cardiopathies and pulmonary hypertension],"Vázquez Martínez JL, Martos Sánchez I, Alvarez Rojas E, Pérez-Caballero C; Sociedad Española de Cuidados Intensivos Pediátricos.",Vázquez Martínez JL,An Pediatr (Barc),2003,03-12-2003
15131583,Should beta-blockers be given to patients with heart disease and peanut-induced anaphylaxis? A decision analysis,"TenBrook JA Jr, Wolf MP, Hoffman SN, Rosenwasser LJ, Konstam MA, Salem DN, Wong JB.",TenBrook JA Jr,J Allergy Clin Immunol,2004,08-05-2004
32114692,"National Surgical, Obstetric, and Anesthesia Plans: Bridging the Cardiac Surgery Gap",Vervoort D.,Vervoort D,Thorac Cardiovasc Surg,2021,02-03-2020
18289300,Evaluation of plasma C-terminal atrial natriuretic peptide in healthy cats and cats with heart disease,"Hori Y, Yamano S, Iwanaga K, Kano T, Tanabe M, Uechi M, Kanai K, Nakao R, Hoshi F, Higuchi S.",Hori Y,J Vet Intern Med,2008,22-02-2008
9408901,"Signifying the pandemics: metaphors of AIDS, cancer, and heart disease",Weiss M.,Weiss M,Med Anthropol Q,1997,31-12-1997
19952920,Evaluation of myocardial perfusion and function by gated single-photon emission computed tomography technetium-99m methoxyisobutylisonitrile in children and adolescents with severe congenital heart disease,"Sobic-Saranovic DP, Pavlovic SV, Jovanovic IV, Stefanovic ID, Artiko VM, Djukic MM, Obradovic VB.",Sobic-Saranovic DP,Nucl Med Commun,2010,03-12-2009
10890794,Moderate drinking and reduced risk of heart disease,Klatsky AL.,Klatsky AL,Alcohol Res Health,1999,13-07-2000
18430276,Applying user-generated quality criteria to develop an Internet intervention for patients with heart disease,"Kerr C, Murray E, Burns J, Turner I, Westwood MA, Macadam C, Nazareth I, Patterson D.",Kerr C,J Telemed Telecare,2008,24-04-2008
23044297,Risk factors and risk index of cardiac events in pregnant women with heart disease,"Liu H, Huang TT, Lin JH.",Liu H,Chin Med J (Engl),2012,10-10-2012
19703678,Sedating the child with congenital heart disease,"Diaz LK, Jones L.",Diaz LK,Anesthesiol Clin,2009,26-08-2009
28812208,Genetic Testing in Inherited Heart Diseases: Practical Considerations for Clinicians,"Care M, Chauhan V, Spears D.",Care M,Curr Cardiol Rep,2017,17-08-2017
25456274,Multi-centered investigation of a point-of-care NT-proBNP ELISA assay to detect moderate to severe occult (pre-clinical) feline heart disease in cats referred for cardiac evaluation,"Machen MC, Oyama MA, Gordon SG, Rush JE, Achen SE, Stepien RL, Fox PR, Saunders AB, Cunningham SM, Lee PM, Kellihan HB.",Machen MC,J Vet Cardiol,2014,03-12-2014
32840956,Hot topics in interventional cardiology: Proceedings from the society for cardiovascular angiography and interventions 2020 think tank,"Naidu SS, Coylewright M, Hawkins BM, Meraj P, Morray BH, Devireddy C, Ing F, Klein AJ, Seto AH, Grines CL, Henry TD, Rao SV, Duffy PL, Amin Z, Aronow HD, Box LC, Caputo RP, Cigarroa JE, Cox DA, Daniels MJ, Elmariah S, Fagan TE, Feldman DN, Forbes TJ, Hermiller JB, Herrmann HC, Hijazi ZM, Jeremias A, Kavinsky CJ, Latif F, Parikh SA, Reilly J, Rosenfield K, Swaminathan RV, Szerlip M, Yakubov SJ, Zahn EM, Mahmud E; SCAI 2020 Think Tank Consortium: David Baker; Bhavsar SS, Blumenthal T, Boutin E, Camp CA, Cromer AE, Dineen D, Dunham D, Emanuele S, Ferguson R, Govender D, Haaf J, Hite D, Hughes T, Laschinger J, Leigh SM, Lombardi L, McCoy P, McLean F, Meikle J, Nicolosi M, O'Brien J, Palmer RJ, Patarca R, Pierce V, Polk B, Prince B, Rangwala N, Roman D, Ryder K, Tolve MH, Vang E, Venditto J, Verderber P, Watson N, White S, Williams DM.",Naidu SS,Catheter Cardiovasc Interv,2020,26-08-2020
18593317,Perceptions and priorities of owners of dogs with heart disease regarding quality versus quantity of life for their pets,"Oyama MA, Rush JE, O'Sullivan ML, Williams RM, Rozanski EA, Petrie JP, Sleeper MM, Brown DC.",Oyama MA,J Am Vet Med Assoc,2008,03-07-2008
1984876,"Passive smoking and heart disease. Epidemiology, physiology, and biochemistry","Glantz SA, Parmley WW.",Glantz SA,Circulation,1991,01-01-1991
38843286,"The Emerging Field of Cardioimmunology: Past, Present and Foreseeable Future",Mann DL.,Mann DL,Circ Res,2024,06-06-2024
20823485,Palm oil and health: a case of manipulated perception and misuse of science,McNamara DJ.,McNamara DJ,J Am Coll Nutr,2010,09-09-2010
25994467,[The heart of Italians. A population survey on the perception and evaluation of the National Health Service by citizens with heart disease and without heart disease (with special reference to cardiology)],"Ottani F, La Vecchia L, Diamanti I, Pozzati A, Gardani L, Fresco C, Lettino M, Cuccia C.",Ottani F,G Ital Cardiol (Rome),2015,22-05-2015
6767144,Radionuclide wall motion study and ejection fraction in clinical practice,"Thrall JH, Pitt B, Brady TJ.",Thrall JH,Med Clin North Am,1980,01-01-1980
16598539,[Heart-diabetes-network--a concept for improved care for diabetic cardiovascular patients following cardiac surgical intervention],"Jacob S, Lauruschkat AH, Lippmann-Grob B.",Jacob S,Clin Res Cardiol,2006,07-04-2006
23984926,"Gene therapy for heart disease: molecular targets, vectors and modes of delivery to myocardium","Scimia MC, Cannavo A, Koch WJ.",Scimia MC,Expert Rev Cardiovasc Ther,2013,30-08-2013
19862572,Biopsy-proven pulmonary determinants of heart disease,"Zampieri FM, Parra ER, Canzian M, Antonângelo L, Luna Filho B, de Carvalho CR, Kairalla RA, Capelozzi VL.",Zampieri FM,Lung,2010,29-10-2009
8165686,"Cerebral lesions on magnetic resonance imaging, heart disease, and vascular risk factors in subjects without stroke. A population-based study","Lindgren A, Roijer A, Rudling O, Norrving B, Larsson EM, Eskilsson J, Wallin L, Olsson B, Johansson BB.",Lindgren A,Stroke,1994,01-05-1994
21840936,Impaired mitochondrial biogenesis precedes heart failure in right ventricular hypertrophy in congenital heart disease,"Karamanlidis G, Bautista-Hernandez V, Fynn-Thompson F, Del Nido P, Tian R.",Karamanlidis G,Circ Heart Fail,2011,16-08-2011
15839727,What is the best strategy for reducing deaths from heart disease?,"Makover ME, Ebrahim S.",Makover ME,PLoS Med,2005,21-04-2005
9516054,Heart disease in diabetes mellitus: a challenge for early diagnosis and intervention,"Tschoepe D, Roesen P.",Tschoepe D,Exp Clin Endocrinol Diabetes,1998,27-03-1998
21674639,Calcium signaling dysfunction in heart disease,"Cartwright EJ, Mohamed T, Oceandy D, Neyses L.",Cartwright EJ,Biofactors,2011,16-06-2011
24821003,Diagnosis using clinical/pathological and molecular information,"Irigoien I, Arenas C.",Irigoien I,Stat Methods Med Res,2016,14-05-2014
31915156,Occupational exposure to silica and risk of heart disease: a systematic review with meta-analysis,"Liu K, Mu M, Fang K, Qian Y, Xue S, Hu W, Ye M.",Liu K,BMJ Open,2020,10-01-2020
10907382,"Validation of death certificate diagnosis of out-of-hospital coronary heart disease deaths in Olmsted County, Minnesota","Goraya TY, Jacobsen SJ, Belau PG, Weston SA, Kottke TE, Roger VL.",Goraya TY,Mayo Clin Proc,2000,25-07-2000
23568895,Poor psychological wellbeing particularly in mothers following sudden cardiac death in the young,"Yeates L, Hunt L, Saleh M, Semsarian C, Ingles J.",Yeates L,Eur J Cardiovasc Nurs,2013,10-04-2013
6991187,Brief review. Hypertension and the heart,Günther KH.,Günther KH,Clin Cardiol,1980,01-01-1980
5700692,The thymus in rheumatic heart disease,Henry K.,Henry K,Clin Exp Immunol,1968,01-07-1968
1564219,Significance of left-sided heart disease for the detection of patent foramen ovale by transesophageal contrast echocardiography,"Siostrzonek P, Lang W, Zangeneh M, Gössinger H, Stümpflen A, Rosenmayr G, Heinz G, Schwarz M, Zeiler K, Mösslacher H.",Siostrzonek P,J Am Coll Cardiol,1992,01-05-1992
17464506,"Integration of genomics, proteomics, and imaging for cardiac stem cell therapy","Chun HJ, Wilson KO, Huang M, Wu JC.",Chun HJ,Eur J Nucl Med Mol Imaging,2007,28-04-2007
16847155,Outcome of listing for cardiac transplantation for failed Fontan: a multi-institutional study,"Bernstein D, Naftel D, Chin C, Addonizio LJ, Gamberg P, Blume ED, Hsu D, Canter CE, Kirklin JK, Morrow WR; Pediatric Heart Transplant Study.",Bernstein D,Circulation,2006,19-07-2006
8529610,Rapid typing of variable number of tandem repeat locus in the human apolipoprotein B gene for DNA diagnosis of heart disease by polymerase chain reaction and capillary electrophoresis,"Baba Y, Tomisaki R, Sumita C, Morimoto I, Sugita S, Tsuhako M, Miki T, Ogihara T.",Baba Y,Electrophoresis,1995,01-08-1995
30489440,"Depression, Socioeconomic Factors, and Ethnicity as Predictors of Cardiorespiratory Fitness Before and After Cardiac Rehabilitation","Mikkelsen N, Dall CH, Frederiksen M, Holdgaard A, Rasmusen H, Prescott E.",Mikkelsen N,J Cardiopulm Rehabil Prev,2019,30-11-2018
929563,[Psychiatric and neurological complications associated with cardiac surgery (author's transl)],Meyendorf R.,Meyendorf R,Thoraxchir Vask Chir,1977,01-10-1977
12574699,Addressing current challenges to cardiac rehabilitation care,"Liehr P, Leaverton R, Yepes A, Frazier L, Fuentes F.",Liehr P,AACN Clin Issues,2003,08-02-2003
2077676,Clinical features of sustained ventricular tachycardia among various underlying heart diseases,Suzuki K.,Suzuki K,Tohoku J Exp Med,1990,01-09-1990
30948185,"Cryoablation for paroxysmal and persistent AF in patients with structural heart disease and preserved ejection fraction: Clinical outcomes from 1STOP, a multicenter observational project","Perego GB, Iacopino S, Molon G, Arena G, Verlato R, Pieragnoli P, Curnis A, Allocca G, Nicolis D, Sciarra L, Catanzariti D, Senatore G, Rovaris G, Brasca F, Tondo C; ClinicalService 1STOP project i Project Investigators.",Perego GB,J Cardiol,2019,06-04-2019
1478900,"Work, marital status, and heart disease","Reviere R, Eberstein IW.",Reviere R,Health Care Women Int,1992,01-10-1992
26444664,Heart Disease and Colon Cancer Prevention Beliefs and Their Association With Information Seeking and Scanning,"Hovick SR, Bigsby E.",Hovick SR,J Health Commun,2016,08-10-2015
14495256,The work potential in persons with heart disease,"RUMBAUGH DM, KUZMAN WJ.",RUMBAUGH DM,Calif Med,1962,01-06-1962
34664061,Serum selenium concentrations and risk of all-cause and heart disease mortality among individuals with type 2 diabetes,"Qiu Z, Geng T, Wan Z, Lu Q, Guo J, Liu L, Pan A, Liu G.",Qiu Z,Am J Clin Nutr,2022,19-10-2021
33568066,Relationship between resting 12-lead electrocardiogram and all-cause death in patients without structural heart disease: Shinken Database analysis,"Hirota N, Suzuki S, Arita T, Yagi N, Otsuka T, Kishi M, Semba H, Kano H, Matsuno S, Kato Y, Uejima T, Oikawa Y, Matsuhama M, Iida M, Inoue T, Yajima J, Yamashita T.",Hirota N,BMC Cardiovasc Disord,2021,11-02-2021
25092405,The rejuvenation of aged stem cells for cardiac repair,"Ludke A, Li RK, Weisel RD.",Ludke A,Can J Cardiol,2014,06-08-2014
12765460,Electrocardiographic changes due to pyridoxine deficiency,"Malmierca E, Polo J, Castro JR.",Malmierca E,Pacing Clin Electrophysiol,2003,27-05-2003
15702666,Coronary flow and flow reserve in children,Oskarsson G.,Oskarsson G,Acta Paediatr Suppl,2004,11-02-2005
36757429,Development of a Pediatric Cardiology Cardiopulmonary Exercise Testing Database,"Griffith G, Liem RI, Carr M, Corson T, Ward K.",Griffith G,Pediatr Cardiol,2024,09-02-2023
25139444,Sudden arrhythmic death syndrome: diagnostic yield of comprehensive clinical evaluation of pediatric first-degree relatives,"Giudici V, Spanaki A, Hendry J, Mead-Regan S, Field E, Zuccotti GV, Abrams D, Lowe M, Kaski JP.",Giudici V,Pacing Clin Electrophysiol,2014,21-08-2014
21316769,Cardiac electrical remodeling in health and disease,"Cutler MJ, Jeyaraj D, Rosenbaum DS.",Cutler MJ,Trends Pharmacol Sci,2011,15-02-2011
15184955,Ocular pathology in congenital heart disease,"Mansour AM, Bitar FF, Traboulsi EI, Kassak KM, Obeid MY, Megarbane A, Salti HI.",Mansour AM,Eye (Lond),2005,09-06-2004
12127362,Natriuretic peptides in the diagnosis of heart disease--first amongst equals?,"Daly C, Fox K, Henein M.",Daly C,Int J Cardiol,2002,20-07-2002
20223184,"[Update on cardiac imaging techniques: echocardiography, cardiac magnetic resonance and computed tomography]","Aguilar-Torres R, Gómez de Diego JJ, Forteza-Albert JF, Vivancos-Delgado R.",Aguilar-Torres R,Rev Esp Cardiol,2010,13-03-2010
28007198,Transseptal Techniques for Emerging Structural Heart Interventions,"Alkhouli M, Rihal CS, Holmes DR Jr.",Alkhouli M,JACC Cardiovasc Interv,2016,24-12-2016
17352393,Screening and biochemical analysis of GATA4 sequence variations identified in patients with congenital heart disease,"Schluterman MK, Krysiak AE, Kathiriya IS, Abate N, Chandalia M, Srivastava D, Garg V.",Schluterman MK,Am J Med Genet A,2007,14-03-2007
38340315,Advances in injectable hydrogels for radiation-induced heart disease,"Zhao LY, Wang XY, Wen ML, Pan NN, Yin XQ, An MW, Wang L, Liu Y, Song JB.",Zhao LY,J Biomater Sci Polym Ed,2024,10-02-2024
28241964,Computer aided decision making for heart disease detection using hybrid neural network-Genetic algorithm,"Arabasadi Z, Alizadehsani R, Roshanzamir M, Moosaei H, Yarifard AA.",Arabasadi Z,Comput Methods Programs Biomed,2017,01-03-2017
37702389,Use of serum osmolality to identify heart disease stage in dogs and relationship to mathematical chloride correction,"Daly EJ, Harris AN, Adin DB.",Daly EJ,J Vet Intern Med,2023,13-09-2023
15354334,Family history of heart disease and cardiovascular disease risk-reducing behaviors,"McCusker ME, Yoon PW, Gwinn M, Malarcher AM, Neff L, Khoury MJ.",McCusker ME,Genet Med,2004,10-09-2004
22687598,Preparticipation athletic screening for genetic heart disease,"Myerson M, Sanchez-Ross M, Sherrid MV.",Myerson M,Prog Cardiovasc Dis,2012,13-06-2012
